0,91454
1,91573
2,91692
3,91693
4,91812
5,91813
6,91932
7,91933
8,92052
9,92171
10,92290
11,92409
12,92410
13,92529
14,92648
15,92647
16,92766
17,92885
18,93004
19,92885
20,92766
21,92647
22,92648
23,92529
24,92410
25,92409
26,92290
27,92171
28,92170
29,92171
30,92052
31,91933
32,91932
33,91931
34,92050
35,92051
36,92050
37,92049
38,91930
39,91931
40,91932
41,91813
42,91812
43,91693
44,91692
45,91573
46,91454
47,91455
48,91456
49,91575
50,91694
51,91695
52,91696
53,91577
54,91696
55,91695
56,91694
57,91693
58,91812
59,91813
60,91932
61,91931
62,92050
63,92051
64,92050
65,92049
66,91930
67,92049
68,92048
69,91929
70,91930
71,91931
72,91932
73,91813
74,91812
75,91693
76,91692
77,91573
78,91571
79,91572
80,91691
81,91692
82,91811
83,91812
84,91931
85,91932
86,91813
87,91812
88,91693
89,91692
90,91573
