0,89312
1,89311
2,89312
3,89311
4,89430
5,89429
6,89548
7,89667
8,89666
9,89785
10,89784
11,89903
12,89904
13,89903
14,90022
15,90023
16,89904
17,90023
18,90024
19,90025
20,89906
21,89907
22,90026
23,90027
24,89908
25,89909
26,89910
27,89911
28,89910
29,90029
30,90030
31,90029
32,90148
33,90267
34,90386
35,90505
36,90624
37,90625
38,90624
39,90743
40,90624
41,90625
42,90744
43,90745
44,89312
45,89311
46,89312
47,89311
48,89430
49,89429
50,89548
51,89667
52,89666
53,89785
54,89784
55,89903
56,89904
57,89903
58,90022
59,90023
60,89904
61,90023
