0,89312
1,89311
2,89430
3,89429
4,89548
5,89667
6,89666
7,89785
8,89784
9,89903
10,89904
11,89903
12,90022
13,90023
14,89904
15,90024
16,90025
17,89906
18,89907
19,90026
20,89908
21,89909
22,89910
23,89911
24,89910
25,90029
26,90030
27,90029
28,90148
29,90267
30,90386
31,90505
32,90624
33,90625
34,90624
35,90743
36,90624
37,90625
38,90744
39,90745
40,90626
41,90745
42,90744
43,90745
44,90744
45,90745
46,90626
47,90745
48,90626
49,90745
50,90626
51,90745
52,90626
53,90745
54,90504
55,90505
56,90506
57,90507
